"Access (Q5_1)","Overall Index","Canteen (Q4_1)","Sector","Gender"
76.3636363636364,73.5483870967742,76.6666666666667,"Private","Male"
78.1818181818182,81.2903225806452,93.3333333333333,"Public","Male"
40,42,38.3333333333333,"Public","Male"
47.2727272727273,42,28.3333333333333,"Public","Female"
90.9090909090909,85.8064516129032,95,"Public","Female"
87.2727272727273,86.6666666666667,100,"Public","Female"
27.2727272727273,35.4838709677419,23.3333333333333,"Public","Male"
58.1818181818182,57.4193548387097,60,"Public","Female"
72.7272727272727,74.4827586206897,78.3333333333333,"Public","Female"
80,71.1764705882353,80,"Public","Female"
80,73.125,76.6666666666667,"Public","Female"
63.6363636363636,61.875,63.3333333333333,"Public","Male"
80,74,80,"Private","Female"
74.5454545454545,82.6666666666667,100,"Private","Male"
60,56.4705882352941,45,"Public","Female"
72.7272727272727,72.5,81.6666666666667,"Public","Female"
96.3636363636364,62.6666666666667,30,"Public","Female"
32.7272727272727,49.0322580645161,56.6666666666667,"Public","Female"
60,36.25,20,"Public","Female"
40,54.4827586206897,63.3333333333333,"Public","Female"
60,60.6666666666667,60,"Public","Female"
81.8181818181818,74.8387096774193,75,"Public","Male"
43.6363636363636,48,45,"Public","Female"
20,32.258064516129,33.3333333333333,"Public","Male"
78.1818181818182,71.6129032258064,70,"Public","Female"
83.6363636363636,77.3333333333333,78.3333333333333,"Public","Male"
69.0909090909091,66.6666666666667,71.6666666666667,"Public","Female"
41.8181818181818,49.6774193548387,56.6666666666667,"Public","Female"
61.8181818181818,68.6666666666667,71.6666666666667,"Public","Female"
72.7272727272727,71.25,83.3333333333333,"Public","Female"
52.7272727272727,51.0344827586207,50,"Public","Female"
96.3636363636364,87.0967741935484,93.3333333333333,"Public","Male"
78.1818181818182,72.7272727272727,76.6666666666667,"Public","Female"
100,83.125,80,"Public","Female"
54.5454545454545,59.3333333333333,63.3333333333333,"Public","Female"
36.3636363636364,45.1612903225806,40,"Public","Female"
60,60,60,"Public","Female"
60,56.3636363636364,55,"Public","Female"
80,72.258064516129,73.3333333333333,"Public","Male"
74.5454545454545,78.125,95,"Public","Female"
78.1818181818182,71.0344827586207,66.6666666666667,"Public","Male"
36.3636363636364,39.2592592592593,41.6666666666667,"Public","Female"
76.3636363636364,73.125,78.3333333333333,"Public","Female"
47.2727272727273,47.0967741935484,45,"Public","Female"
38.1818181818182,51.25,60,"Public","Female"
60,58.7096774193548,60,"Private","Male"
58.1818181818182,56.969696969697,60,"Public","Male"
20,26.2068965517241,20,"Public","Female"
61.8181818181818,61.9354838709677,66.6666666666667,"Public","Female"
90.9090909090909,68.3870967741936,60,"Public","Male"
80,64.8484848484848,58.3333333333333,"Public","Female"
52.7272727272727,59.3333333333333,63.3333333333333,"Public","Female"
60,56.7741935483871,48.3333333333333,"Public","Female"
83.6363636363636,72.9032258064516,70,"Public","Female"
100,88,91.6666666666667,"Public","Female"
65.4545454545455,63.125,70,"Public","Male"
52.7272727272727,55.3333333333333,63.3333333333333,"Public","Female"
56.3636363636364,52.9411764705882,40,"Public","Female"
76.3636363636364,66.875,76.6666666666667,"Public","Male"
20,26.6666666666667,35,"Public","Male"
25.4545454545455,37.5757575757576,40,"Private","Male"
47.2727272727273,51.25,40,"Public","Male"
81.8181818181818,72.3529411764706,75,"Public","Female"
61.8181818181818,66.25,73.3333333333333,"Public","Female"
61.8181818181818,61.25,58.3333333333333,"Public","Female"
60,60,58.3333333333333,"Public","Male"
56.3636363636364,48.125,41.6666666666667,"Public","Female"
74.5454545454545,72.258064516129,80,"Public","Male"
43.6363636363636,50.3448275862069,51.6666666666667,"Public","Female"
90.9090909090909,66.4516129032258,53.3333333333333,"Public","Female"
29.0909090909091,40.625,40,"Public","Female"
56.3636363636364,56.6666666666667,56.6666666666667,"Public","Female"
87.2727272727273,81.9354838709677,93.3333333333333,"Private","Male"
30.9090909090909,58.6206896551724,76.6666666666667,"Public","Male"
20,32.4137931034483,20,"Public","Female"
36.3636363636364,50.9677419354839,60,"Public","Female"
50.9090909090909,50,50,"Public","Male"
38.1818181818182,46,48.3333333333333,"Public","Female"
78.1818181818182,76,81.6666666666667,"Public","Male"
43.6363636363636,44.6666666666667,45,"Public","Female"
60,58.0645161290323,60,"Public","Male"
41.8181818181818,46.2068965517241,45,"Public","Female"
78.1818181818182,71.3333333333333,68.3333333333333,"Public","Male"
72.7272727272727,75.1724137931035,80,"Public","Male"
81.8181818181818,76.7741935483871,83.3333333333333,"Public","Female"
83.6363636363636,74.1935483870968,76.6666666666667,"Public","Female"
70.9090909090909,64.375,65,"Public","Female"
63.6363636363636,57.5757575757576,48.3333333333333,"Public","Male"
50.9090909090909,49.0909090909091,38.3333333333333,"Public","Male"
80,66.25,60,"Public","Female"
69.0909090909091,60.625,58.3333333333333,"Public","Female"
58.1818181818182,54.1935483870968,53.3333333333333,"Public","Female"
67.2727272727273,63.8709677419355,66.6666666666667,"Public","Male"
34.5454545454545,42.5,40,"Public","Female"
60,61.9354838709677,60,"Public","Female"
56.3636363636364,55,55,"Public","Female"
80,70.9677419354839,66.6666666666667,"Public","Female"
69.0909090909091,64.1379310344828,60,"Public","Female"
87.2727272727273,78,80,"Public","Male"
70.9090909090909,63.8709677419355,60,"Public","Female"
70.9090909090909,65.1428571428571,65,"Public","Female"
32.7272727272727,42.5806451612903,36.6666666666667,"Public","Female"
70.9090909090909,59.3548387096774,55,"Public","Female"
80,72.258064516129,76.6666666666667,"Public","Female"
20,20,20,"Public","Male"
58.1818181818182,47.741935483871,35,"Public","Female"
49.0909090909091,58,66.6666666666667,"Private","Male"
61.8181818181818,63.75,66.6666666666667,"Public","Female"
65.4545454545455,54.7058823529412,45,"Public","Female"
67.2727272727273,57.4193548387097,50,"Public","Female"
65.4545454545455,67.3333333333333,73.3333333333333,"Public","Male"
49.0909090909091,48,40,"Public","Female"
50.9090909090909,53.3333333333333,50,"Public","Female"
30.9090909090909,40,31.6666666666667,"Public","Female"
69.0909090909091,66.4516129032258,63.3333333333333,"Public","Female"
80,74,80,"Public","Female"
61.8181818181818,62.6666666666667,61.6666666666667,"Public","Female"
20,38.2352941176471,35,"Public","Female"
69.0909090909091,67.0967741935484,71.6666666666667,"Private","Female"
72.7272727272727,63.6363636363636,63.3333333333333,"Public","Female"
80,64.6666666666667,60,"Public","Female"
74.5454545454545,64.8484848484848,63.3333333333333,"Public","Male"
47.2727272727273,55.1515151515152,58.3333333333333,"Public","Male"
43.6363636363636,45.8064516129032,36.6666666666667,"Public","Male"
85.4545454545455,66,55,"Public","Female"
63.6363636363636,55,50,"Public","Female"
60,58.0645161290323,55,"Public","Female"
78.1818181818182,74.8387096774193,76.6666666666667,"Public","Female"
89.0909090909091,80.6666666666667,88.3333333333333,"Public","Female"
67.2727272727273,68.4848484848485,85,"Public","Male"
70.9090909090909,64,61.6666666666667,"Public","Female"
40,40.625,30,"Public","Female"
63.6363636363636,60.625,61.6666666666667,"Public","Female"
100,89.6774193548387,96.6666666666667,"Public","Female"
76.3636363636364,72.5,78.3333333333333,"Public","Female"
72.7272727272727,66.875,76.6666666666667,"Public","Female"
60,57.4193548387097,58.3333333333333,"Public","Female"
63.6363636363636,62.5806451612903,66.6666666666667,"Public","Female"
49.0909090909091,47.5862068965517,31.6666666666667,"Public","Female"
25.4545454545455,34.375,30,"Public","Female"
85.4545454545455,61.9354838709677,36.6666666666667,"Public","Female"
60,57.4193548387097,50,"Public","Female"
52.7272727272727,57.5757575757576,53.3333333333333,"Public","Female"
60,57.3333333333333,55,"Public","Female"
100,90,100,"Public","Female"
